Experiment ID,Crab ID,Date,Egg Development Stage,Total number of eggs,Number viable crab eggs,Number of Adult Copepods,Adult Nicos per Viable Crab Eggs
Autoinfection-005,ANT-GAV-005,04/05/2022,A,1149,1144,0,0
Autoinfection-006,ANT-GAV-006,04/06/2022,D,1035,1023,3,0.00293255132
Autoinfection-008,ANT-GAV-008,04/06/2022,I,1064,1059,0,0
Autoinfection-009,ANT-GAV-009,04/06/2022,J,1005,970,0,0
Autoinfection-010,ANT-GAV-010,04/07/2022,G,1105,1098,0,0
Autoinfection-012,ANT-GAV-013,04/07/2022,F,984,978,0,0
Autoinfection-013,ANT-GAV-014,04/07/2022,J,1025,1001,4,0.003996003996
Autoinfection-014,ANT-GAV-015,04/07/2022,G,1082,1052,1,0.0009505703422
Autoinfection-016,ANT-GAV-002,04/08/2022,D,1056,1051,2,0.001902949572
Autoinfection-017,ANT-GAV-003,04/08/2022,B,1019,1019,0,0
Autoinfection-018,ANT-GAV-004,04/08/2022,F,1052,1049,0,0
Autoinfection-019,ANT-GAV-005,04/08/2022,B,1133,1179,0,0
Autoinfection-020,ANT-GAV-006,04/09/2022,E,1115,1089,4,0.003673094582
Autoinfection-022,ANT-GAV-008,04/09/2022,I,1001,980,0,0
Autoinfection-024,ANT-GAV-010,04/10/2022,G,1022,1019,0,0
Autoinfection-025,ANT-GAV-012,04/10/2022,F,1009,993,2,0.002014098691
Autoinfection-026,ANT-GAV-013,04/10/2022,F,1085,1077,1,0.0009285051068
Autoinfection-027,ANT-GAV-014,04/10/2022,J,1045,1013,1,0.0009871668312
Autoinfection-029,ANT-GAV-001,04/11/2022,E,1190,1170,27,0.02307692308
Autoinfection-030,ANT-GAV-002,4/11/2022,E,1060,1042,7,0.006717850288
Autoinfection-031,ANT-GAV-003,4/11/2022,D,1062,1058,0,0
Autoinfection-032,ANT-GAV-004,4/11/2022,I,1061,1055,0,0
Autoinfection-034,ANT-GAV-006,04/12/2022,E,1027,1017,2,0.001966568338
Autoinfection-035,ANT-GAV-007,04/12/2022,F,1012,1010,5,0.00495049505
Autoinfection-036,ANT-GAV-008,04/12/2022,J,1015,1015,0,0
Autoinfection-037,ANT-GAV-009,04/12/2022,K,1056,1025,0,0
Autoinfection-038,ANT-GAV-010,04/13/2022,I,1074,1040,0,0
Autoinfection-039,ANT-GAV-012,04/13/2022,F,851,831,0,0
Autoinfection-041,ANT-GAV-014,04/13/2022,K,987,980,5,0.005102040816
Autoinfection-043,ANT-GAV-001,04/14/2022,E,993,982,26,0.02647657841
Autoinfection-045,ANT-GAV-003,04/14/2022,D,1042,1029,1,0.0009718172983
Autoinfection-046,ANT-GAV-004,04/14/2022,I,1052,1040,0,0
Autoinfection-048,ANT-GAV-006,04/15/2022,F,584,336,4,0.0119047619
Autoinfection-050,ANT-GAV-008,04/15/2022,K,1094,1078,0,0
Autoinfection-052,ANT-GAV-010,04/16/2022,J,1042,1031,1,0.0009699321048
Autoinfection-053,ANT-GAV-012,04/16/2022,G,1125,1090,1,0.0009174311927
Autoinfection-054,ANT-GAV-013,04/16/2022,F,1046,1035,0,0
Autoinfection-056,ANT-GAV-015,04/16/2022,J,1003,957,1,0.001044932079
Autoinfection-057,ANT-GAV-001,04/17/2022,F,1065,1033,21,0.02032913843
Autoinfection-058,ANT-GAV-002,04/17/2022,G,1041,1030,5,0.004854368932
Autoinfection-059,ANT-GAV-003,04/17/2022,F,1196,1187,0,0
Autoinfection-060,ANT-GAV-004,04/17/2022,I,1005,981,0,0
Autoinfection-061,ANT-GAV-005,04/17/2022,D,1179,1150,0,0
Autoinfection-065,ANT-GAV-010,04/19/2022,J,1012,980,0,0
Autoinfection-066,ANT-GAV-012,04/19/2022,I,1000,940,2,0.002127659574
Autoinfection-067,ANT-GAV-013,04/19/2022,I,1084,1067,2,0.001874414246
Autoinfection-069,ANT-GAV-015,04/19/2022,L,1017,984,4,0.00406504065
Autoinfection-071,ANT-GAV-002,04/20/2022,H,1106,1105,3,0.002714932127
Autoinfection-072,ANT-GAV-003,04/20/2022,G,1015,904,1,0.00110619469
Autoinfection-073,ANT-GAV-004,04/20/2022,J,1029,1019,2,0.001962708538
Autoinfection-074,ANT-GAV-005,4/20/2022,E,1063,1041,4,0.003842459174
Autoinfection-075,ANT-GAV-006,04/21/2022,I,1020,1001,2,0.001998001998
Autoinfection-076,ANT-GAV-007,04/21/2022,J,1053,1029,6,0.00583090379
Autoinfection-078,ANT-GAV-012,04/22/2022,J,1089,1050,2,0.001904761905
Autoinfection-080,ANT-GAV-015,04/22/2022,M,1080,392,1,0.002551020408
Autoinfection-082,ANT-GAV-002,04/23/2022,I,1004,986,2,0.002028397566
Autoinfection-084,ANT-GAV-004,04/23/2022,K,1052,928,0,0
Autoinfection-085,ANT-GAV-005,4/23/2022,D,1071,1028,1,0.0009727626459
Autoinfection-086,ANT-GAV-006,4/24/2022,I,1003,974,2,0.00205338809
Autoinfection-087,ANT-GAV-007,4/24/2022,J,1112,1084,8,0.007380073801
Autoinfection-090,ANT-GAV-001,04/26/2022,I,1020,674,25,0.03709198813
Autoinfection-091,ANT-GAV-002,04/26/2022,I,1040,971,5,0.005149330587
Autoinfection-093,ANT-GAV-005,4/26/2022,D,1023,992,6,0.006048387097
Autoinfection-096,ANT-GAV-007,04/27/2022,K,1030,1015,2,0.00197044335
Autoinfection-097,ANT-GAV-006,04/27/2022,J,1205,1173,4,0.003410059676
Autoinfection-098,ANT-GAV-012,04/28/2022,L,1101,966,3,0.003105590062
Autoinfection-099,ANT-GAV-013,04/28/2022,K,1019,1009,1,0.0009910802775
Autoinfection-101,ANT-GAV-002,04/29/2022,J,991,960,2,0.002083333333
Autoinfection-102,ANT-GAV-003,04/29/2022,I,1016,1009,1,0.0009910802775
Autoinfection-103,ANT-GAV-005,4/29/2022,E,1051,1011,9,0.008902077151
Autoinfection-104,ANT-GAV-006,4/30/2022,K,1024,981,1,0.001019367992
Autoinfection-112,ANT-GAV-006,05/03/2022,M,1059,609,1,0.001642036125
Autoinfection-113,ANT-GAV-007,05/03/2022,M,1084,547,0,0
Autoinfection-121,ANT-GAV-001,05/08/2022,K,1096,662,0,0
Autoinfection-123,ANT-GAV-005,05/08/2022,I,1009,953,22,0.02308499475
Autoinfection-125,ANT-GAV-009.2,05/10/2022,A,1277,1174,0,0
Autoinfection-126,ANT-GAV-005,05/11/2022,J,1004,905,12,0.01325966851
Autoinfection-127,ANT-GAV-009.2,05/11/2022,A,1000,998,0,0
Autoinfection-128,ANT-GAV-009.2,05/12/2022,A,1247,1245,0,0
Autoinfection-129,ANT-GAV-009.2,05/13/2022,A,1234,1224,0,0
Autoinfection-130,ANT-GAV-005,05/14/2022,K,1048,1037,4,0.003857280617
Autoinfection-131,ANT-GAV-009.2,05/14/2022,A,1037,1037,0,0
Autoinfection-132,ANT-GAV-009.2,05/15/2022,A,1033,1024,0,0
Autoinfection-133,ANT-GAV-009.2,05/16/2022,B,1278,1266,0,0
Autoinfection-134,ANT-GAV-005,05/17/2022,L,991,964,4,0.004149377593
Autoinfection-135,ANT-GAV-009.2,05/17/2022,B,1035,1034,0,0
Autoinfection-138,ANT-GAV-005,05/20/2022,L,1032,966,3,0.003105590062
Autoinfection-148,ANT-GAV-014.2,05/27/2022,A,1061,1059,0,0
Autoinfection-149,ANT-GAV-015.2,05/27/2022,A,1048,1041,0,0
Autoinfection-151,ANT-GAV-014.2,05/28/2022,A,1094,1087,0,0
Autoinfection-152,ANT-GAV-015.2,05/28/2022,A,1064,1050,0,0
Autoinfection-153,ANT-GAV-009.2,05/29/2022,E,1114,1061,8,0.00754005655
Autoinfection-154,ANT-GAV-014.2,05/29/2022,A,1161,1153,0,0
Autoinfection-155,ANT-GAV-015.2,05/29/2022,A,1092,1079,0,0
Autoimfection-156,ANT-GAV-009.2,05/30/2022,D,1044,1036,0,0
Autoinfection-157,ANT-GAV-015.2,05/30/2022,A,1068,1061,0,0
Autoinfection-158,ANT-GAV-014.2,05/30/2022,A,1093,1084,0,0
Autoinfection-160,ANT-GAV-014.2,05/31/2022,A,1016,1001,0,0
Autoinfection-163,ANT-GAV-015.2,06/01/2022,A,2103,2069,0,0
Autoinfection-164,ANT-GAV-009.2,06/02/2022,E,1067,1026,1,0.0009746588694
Autoinfection-165,ANT-GAV-014.2,06/02/2022,B,1044,1041,0,0
Autoinfection-166,ANT-GAV-015.2,06/02/2022,A,1050,942,0,0
Autoinfection-167,ANT-GAV-009.2,06/03/2022,E,1039,977,4,0.004094165814
Autoinfection-168,ANT-GAV-014.2,06/03/2022,B,1011,1009,0,0
Autoinfection-169,ANT-GAV-009.2,06/04/2022,E,1090,1053,19,0.01804368471
Autoinfection-170,ANT-GAV-014.2,06/04/2022,C,1147,1125,0,0
Autoinfection-171,ANT-GAV-009.2,06/05/2022,F,1055,1023,5,0.004887585533
Autoinfection-172,ANT-GAV-014.2,06/05/2022,C,1250,1231,26,0.02112103981
Autoinfection-173,ANT-GAV-003.2,06/05/2022,A,1119,1112,0,0
Autoinfection-174,ANT-GAV-009.2,06/06/2022,F,1004,964,11,0.01141078838
Autoinfection-175,ANT-GAV-003.2,06/06/2022,A,1063,1051,0,0
Autoinfection-176,ANT-GAV-014.2,06/06/2022,D,1402,1385,13,0.009386281588
Autoinfection-177,ANT-GAV-003.2,06/07/2022,A,1142,1135,0,0
Autoinfection-178,ANT-GAV-009.2,06/07/2022,G,1471,1399,10,0.007147962831
Autoinfection-179,ANT-GAV-014.2,06/07/2022,D,1464,1444,0,0
Autoinfection-180,ANT-GAV-009.2,06/08/2022,H,1275,1223,12,0.009811937858
Autoinfection-181,ANT-GAV-003.2,06/08/2022,A,1156,1147,0,0
Autoinfection-182,ANT-GAV-014.2,06/08/2022,D,1323,1307,0,0
Autoinfection-183,ANT-GAV-003.2,06/09/2022,A,1211,1201,0,0
Autoinfection-184,ANT-GAV-009.2,06/09/2022,I,1425,1409,5,0.00354861604
Autoinfection-185,ANT-GAV-014.2,06/09/2022,D,1028,1008,21,0.02083333333
Autoinfection-189,ANT-GAV-008.2,06/10/2022,A,1103,1103,0,0
Autoinfection-190,ANT-GAV-008.2,06/11/2022,B,1023,1014,0,0
Autoinfection-194,ANT-GAV-008.2,06/14/2022,C,1579,1574,0,0
Autoinfection-196,ANT-GAV-003.2,06/16/2022,D,1087,1075,0,0
Autoinfection-197,ANT-GAV-014.2,06/16/2022,F,1145,1128,6,0.005319148936
Autoinfection-198,ANT-GAV-009.2,06/18/2022,M,1498,715,0,0
Autoinfection-199,ANT-GAV-008.2,06/18/2022,D,1023,1004,2,0.001992031873
Autoinfection-200,ANT-GAV-003.2,06/19/2022,D,1100,1080,13,0.01203703704
Autoinfection-202,ANT-GAV-008.2,06/20/2022,D,1103,1095,13,0.01187214612
Autoinfection-204,ANT-GAV-007.2,06/21/2022,C,1112,1107,107,0.09665763324
Autoinfection-205,ANT-GAV-003.2,06/22/2022,D,1076,978,74,0.07566462168
