Experiment ID,Crab ID,Date,EDS,Pleopod Number,Total Number Crab Eggs,Number Viable Crab Eggs,Number Damaged Crab Eggs,Number Stunted Crab Eggs,Total Number Non-Viable Crab Eggs,Number Adult Nicos,Number Juvenile Nicos,Number Nico Eggs,Number of Nemerteans,Water Temperature,Images,Initials,Notes,,,,,,,,,
Mortality-001,ANT-GAV-030,01/21/2023,I,8,1090,1073,11,6,17,1,2,39,1,12,ANT-GAV-030_Mortality-001_01212023_1_30_JO.JPG,JO,,,,,,,,,,
Mortality-002,ANT-GAV-031,01/21/2023,I,4,1461,1326,82,53,135,0,2,67,2,12,ANT-GAV-031_Mortality-002_01212023_1_30_JO.JPG,JO,,,,,,,,,,
Mortality-003,ANT-GAV-032,01/21/2023,J,6,1975,1916,33,26,59,10,74,317,0,12,"ANT-GAV-032_Mortality-002_01212023_1_30_JO.JPG
ANT-GAV-032_Mortality-002_01212023_2_30_JO.JPG ",JO,"-there were no nemerteans seen but there were nemertean eggs present 
-the shaking method presented 19 more juveniles so it will be adopted",,,,,,,,,
Mortality-004,ANT-GAV-033,01/22/2023,J,2,1325,1309,7,9,16,2,51,156,1,12,"ANT-GAV-033_Mortality-004_01222023_1_20_JO.JPG
ANT-GAV-033_Mortality-004_01222023_2_30_JO.JPG",JO,,,,,,,,,,
Mortality-005,ANT-GAV-034,01/22/2023,G,3,1795,1736,39,20,59,13,1,603,0,12,"ANT-GAV-034_Mortality-005_01222023_1_30_JO.JPG
ANT-GAV-034_Mortality-005_01222023_2_45_JO
ANT-GAV-034_Mortality-005_01222023_3_45_JO
ANT-GAV-034_Mortality-005_01222023_4_225_JO
ANT-GAV-034_Mortality-005_01222023_5_45_JO
ANT-GAV-034_Mortality-005_01222023_6_25_JO
ANT-GAV-034_Mortality-005_01222023_7_25_JO
ANT-GAV-034_Mortality-005_01222023_8_25_JO",JO,"-image showing two color developments
-picture of the suction cup
-photos of nico eggs
-no nemerteans but nemertean eggs are present ",,,,,,,,,
Mortality-006,ANT-GAV-035,01/22/2023,J,6,1582,1517,36,29,65,1,10,23,1,12,ANT-GAV-035_Mortality-006_01222023_1_30_JO,JO,,,,,,,,,,
Mortality-007,ANT-GAV-036,01/23/2023,I,8,1578,1566,9,3,12,0,4,28,0,12,ANT-GAV-036_Mortality-007_01232023_1_30_JO,JO,"-no nemerteans and no nemertean eggs 
-the eggs look like they are in pretty good condition and there aren't lots of nicos ",,,,,,,,,
Mortality-008,ANT-GAV-037,01/23/2023,I,4,1381,736,549,96,645,21,323,1517,0,12,"ANT-GAV-037_Mortality-008_01232023_1_12_JO
ANT-GAV-037_Mortality-008_01232023_2_20_JO
ANT-GAV-037_Mortality-008_01232023_3_20_JO
ANT-GAV-037_Mortality-008_01232023_4_20_JO
ANT-GAV-037_Mortality-008_01232023_5_45_JO
ANT-GAV-037_Mortality-008_01232023_6_45_JO
ANT-GAV-037_Mortality-008_01232023_7_45_JO
ANT-GAV-037_Mortality-008_01232023_8_45_JO
ANT-GAV-037_Mortality-008_01232023_9_30_JO
ANT-GAV-037_Mortality-008_01232023_10_20_JO
ANT-GAV-037_Mortality-008_01232023_11_40_JO
ANT-GAV-037_Mortality-008_01232023_12_40_JO
ANT-GAV-037_Mortality-008_01232023_13_30_JO
ANT-GAV-037_Mortality-008_01232023_14_30_JO",JO,"-there are so many nico eggs and the damage to the eggs is extremely evident here 
-there is a reference photo for what an unifected portion should look like at this developmental stage
-in the heavily infested crabs the EDS can be determined by looking at the eggs at the ends of the fasciles because they are more synchronous and the nicos usually tend to stay towards the inners of the fascicles (more protection)
-damaged eggs are being classified as fully drained eggs, partially drained eggs, bacterial filled eggs, or popped eggs 
-there were no nemertean or nemertean eggs present
-in particular it is important to note the damaged eggs here include a lot of drained eggs",,,,,,,,,
Mortality-009,ANT-GAV-038,01/23/2023,I,1,1402,1373,23,6,29,4,49,360,0,12,ANT-GAV-038_Mortality-009_01232023_1_30_JO,JO,"-no nemerteans and no nemertean eggs 
-there were a lot of nico eggs but not a lot of damage to the eggs
-the eggs look like they are in pretty good condition ",,,,,,,,,
Mortality-010,ANT-GAV-030,01/24/2023,I,3,1890,1825,49,16,65,3,29,176,1,12,"ANT-GAV-030_Mortality-010_01242023_1_30_JO
ANT-GAV-030_Mortality-010_01242023_2_30_JO",JO,"-the are nemertean eggs present as well 
-the eggs look pretty good and there aren't many nico eggs but there are lots of juveniles 
-ANT-GAV-030 autonomized her front claw later after this sample removal ",,,,,,,,,
