Experiment ID ,Crab ID,Date,Egg Development Stage ,Pleopod Number,Total number of eggs,Number viable crab eggs,Number popped crab eggs,Number of Adult Copepods,Number of Juvenile Copepods,Size of Copepods ,Number of Copepod Eggs,Number of Nemerteans,Photo/Video Name,Investigator,QA Checkoff Person 1,QA Checkoff Person 2,,Water Temperature
Autoinfection-001,ANT-GAV-001,04/05/2022,D,2,1256,1227,29,16,5,,8,3,ANT-GAV-001_Autoinfection-001_040522_1_35_SL.mov,SL,"SL, 08/28/2022","JO, 1/18/2022",,NA
Autoinfection-002,ANT-GAV-002,04/05/2022,D,2,979,965,14,1,0,,0,1,https://drive.google.com/file/d/1lu7Vr8idkiAlP8YFh_pK3Y1Ue5vLz3hc/view?usp=sharing,JO,"SL, 1/17/22","JO, 1/18/2022","CG, 1/22/23","SL, 1/23/23"
Autoinfection-003,ANT-GAV-003,04/05/2022,C,2,1204,1198,6,0,0,,0,0,ANT-GAV-003_Autoinfection-003_040522_1_40_GP.HEIC,GP,"GP, 07/08/2022","SL, 1/17/24",,NA
Autoinfection-005,ANT-GAV-005,04/05/2022,A,2,1149,1144,5,0,7,,0,1,,SL/GP,"SL, 9/01/2022","CG, 10/16/22",,NA
Autoinfection-006,ANT-GAV-006,04/06/2022,D,2,1035,1023,13,3,2,,0,5,,JO,"SL, 10/16/22","CG, 10/16/22",,14
Autoinfection-008,ANT-GAV-008,04/06/2022,I,2,1064,1059,5,0,0,,12,0,,JO,"SL, 10/16/22","CG, 10/16/22",,14
Autoinfection-009,ANT-GAV-009,04/06/2022,J,2,1005,970,35,0,1,,4,6,,JO,"SL, 10/16/22","CG, 10/16/22",,14
Autoinfection-010,ANT-GAV-010,04/07/2022,G,2,1105,1098,7,0,1,,0,0,,AS,"SL, 10/16/22","CG, 10/16/22",,15
Autoinfection-012,ANT-GAV-013,04/07/2022,F,2,984,978,6,0,0,,1,0,,ME/SL,"SL, 10/16/22","CG, 10/16/22",,15
Autoinfection-013,ANT-GAV-014,04/07/2022,J,2,1025,1001,24,4,4,,37,0,,SL,"SL, 10/16/22","CG, 10/16/22",,15
Autoinfection-014,ANT-GAV-015,04/07/2022,G,2,1082,1052,30,1,0,,17,0,,SL,"SL, 10/16/22","CG, 10/16/22",,15
Autoinfection-016,ANT-GAV-002,04/08/2022,D,2,1056,1051,5,2,0,,4,0,,CG,"SL, 10/16/22","CG, 10/16/22",,15
Autoinfection-017,ANT-GAV-003,04/08/2022,B,2,1019,1019,0,0,1,,0,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-018,ANT-GAV-004,04/08/2022,F,2,1052,1049,3,0,0,,2,3,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-019,ANT-GAV-005,04/08/2022,B,2,1133,1118,15,0,9,,0,2,,GP,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-020,ANT-GAV-006,04/09/2022,E,2,1115,1089,26,4,2,,13,7,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-021,ANT-GAV-007,04/09/2022,E,2,1024,1003,21,2,0,,49,1,https://drive.google.com/file/d/1rzho4-z4LznSLAzihqBvbI8bo1hXvusk/view?usp=sharing,CG,"CG, 1/22/23","SL, 1/23/23",,
Autoinfection-022,ANT-GAV-008,04/09/2022,I,2,1001,980,21,0,0,,5,1,,JM,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-024,ANT-GAV-010,04/10/2022,G,2,1022,1019,3,0,0,,8,0,,JO,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-025,ANT-GAV-012,04/10/2022,F,2,1009,993,16,2,0,,6,2,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-026,ANT-GAV-013,04/10/2022,F,2,1085,1077,8,1,0,,15,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-027,ANT-GAV-014,04/10/2022,J,2,1045,1013,32,1,5,,172,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-028,ANT-GAV-015,04/10/2022,H,2,1027,997,30,2,0,,83,0,,SL,"SL, 10/16/22","CG, 10/16/22","SL, 1/23/23",
Autoinfection-029,ANT-GAV-001,04/11/2022,E,2,1190,1170,20,27,6,,350,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-030,ANT-GAV-002,4/11/2022,E,2,1060,1042,18,7,0,,118,0,,GP,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-031,ANT-GAV-003,4/11/2022,D,2,1062,1058,4,0,2,,0,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-032,ANT-GAV-004,4/11/2022,I,2,1061,1055,6,0,19,,12,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-033,ANT-GAV-005,4/11/2022,D,2,1050,1039,11,0,12,,0,6,,GP,"SL, 10/16/22","CG, 10/16/22","SL, 1/23/23",
Autoinfection-034,ANT-GAV-006,04/12/2022,E,2,1027,1017,10,2,0,,17,0,,MS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-035,ANT-GAV-007,04/12/2022,F,2,1012,1010,2,5,0,,27,0,,MS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-036,ANT-GAV-008,04/12/2022,J,2,1015,1015,0,0,4,,11,0,,MS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-037,ANT-GAV-009,04/12/2022,K,2,1056,1025,31,0,2,,8,0,,GP,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-038,ANT-GAV-010,04/13/2022,I,2,1074,1040,34,0,0,,12,0,,GP,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-039,ANT-GAV-012,04/13/2022,F,2,851,831,20,0,0,,38,0,,CG,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-041,ANT-GAV-014,04/13/2022,K,2,987,980,7,5,7,,208,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-043,ANT-GAV-001,04/14/2022,E,2,993,982,11,26,0,,345,0,,MS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-044,ANT-GAV-002,04/14/2022,F,2,1003,994,9,2,0,,74,1,https://drive.google.com/file/d/1fbCJ5t6yGxFtxIrzm1nTZ2E_NCW5AB6m/view?usp=sharing,,"CG, 1/22/23","SL, 1/23/23",,
Autoinfection-045,ANT-GAV-003,04/14/2022,D,2,1042,1029,13,1,0,,8,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-046,ANT-GAV-004,04/14/2022,I,2,1052,1040,12,0,1,,45,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-048,ANT-GAV-006,04/15/2022,F,2,584,336,7,4,0,,78,1,,JO,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-050,ANT-GAV-008,04/15/2022,K,2,1094,1078,16,0,2,,10,0,,SL,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-051,ANT-GAV-009,04/15/2022,M,,NA,NA,NA,2,2,,22,0,,JO,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-052,ANT-GAV-010,04/16/2022,J,2,1042,1031,11,1,1,,15,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-053,ANT-GAV-012,04/16/2022,G,2,1125,1090,43,1,0,,69,1,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-054,ANT-GAV-013,04/16/2022,F,2,1046,1035,11,0,0,NA,23,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-055,ANT-GAV-014,04/16/2022,M,,NA,NA,79 (didn't hatch),2 (alive),11,NA,38,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
Autoinfection-056,ANT-GAV-015,04/16/2022,J,2,1003,957,46,1,0,,37,0,,AS,"SL, 10/16/22","CG, 10/16/22",,
