Experiment ID,Crab ID,Date,Egg Development Stage,Day,Pleopod Number,Total number of eggs,Number viable crab eggs,Number popped crab eggs,Number of Adult Copepods,Number of Juvenile Copepods,Size of Copepods,Number of Copepod Eggs,Number of Nemerteans,Photo/Video Name,Investigator,Water Temperature
Autoinfection-001,ANT-GAV-001,04/05/2022,E,12,2,1256,1227,29,16,5,,8,3,ANT-GAV-001_Autoinfection-001_040522_1_35_SL.mov,SL,NA
Autoinfection-002,ANT-GAV-002,04/05/2022,D,12,2,979,965,14,1,0,,0,1,https://drive.google.com/file/d/1lu7Vr8idkiAlP8YFh_pK3Y1Ue5vLz3hc/view?usp=sharing,JO,"SL, 1/23/23"
Autoinfection-003,ANT-GAV-003,04/05/2022,D,14,2,1204,1198,6,0,0,,0,0,ANT-GAV-003_Autoinfection-003_040522_1_40_GP.HEIC,GP,NA
Autoinfection-004,ANT-GAV-004,04/05/2022,E,23,2,1034,1025,9,0,1,,6,1,,SL,NA
Autoinfection-005,ANT-GAV-005,04/05/2022,A,0,2,1149,1144,5,0,7,,0,1,,SL/GP,NA
Autoinfection-006,ANT-GAV-006,04/06/2022,E,18,2,1035,1023,13,3,2,,0,5,,JO,14
Autoinfection-007,ANT-GAV-007,04/06/2022,E,18,2,1072,1071,1,0,0,,0,0,,JO,14
Autoinfection-008,ANT-GAV-008,04/06/2022,I,33,2,1064,1059,5,0,0,,12,0,,JO,14
Autoinfection-009,ANT-GAV-009,04/06/2022,I,36,2,1005,970,35,0,1,,4,6,,JO,14
Autoinfection-010,ANT-GAV-010,04/07/2022,G,27,2,1105,1098,7,0,1,,0,0,,AS,15
Autoinfection-011,ANT-GAV-012,04/07/2022,E,22,2,1075,1055,20,0,0,,27,1,,SL,15
Autoinfection-012,ANT-GAV-013,04/07/2022,E,21,2,984,978,6,0,0,,1,0,,ME/SL,15
Autoinfection-013,ANT-GAV-014,04/07/2022,I,35,2,1025,1001,24,4,4,,37,0,,SL,15
Autoinfection-014,ANT-GAV-015,04/07/2022,G,28,2,1082,1052,30,1,0,,17,0,,SL,15
Autoinfection-015,ANT-GAV-001,04/08/2022,E,15,2,1119,1107,12,17,12,,137,0,,JM,15
